code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,disability,num_of_prev_attempts,studied_credits,click_total,final_result
AAA,2013J,11391,1,1,3,10,3,2,0,240,934,2
AAA,2013J,28400,2,7,3,3,2,2,0,60,1435,2
AAA,2013J,30268,2,6,2,4,2,1,0,60,281,4
AAA,2013J,31604,2,8,2,6,2,2,0,60,2158,2
AAA,2013J,32885,2,12,1,6,1,2,0,60,1034,2
AAA,2013J,38053,1,11,2,9,2,2,0,60,2445,2
AAA,2013J,45462,1,7,3,4,1,2,0,60,1492,2
AAA,2013J,45642,2,6,2,10,1,2,0,120,1428,2
AAA,2013J,52130,2,1,2,8,1,2,0,90,1894,2
AAA,2013J,53025,1,5,4,0,3,2,0,60,3158,2
AAA,2013J,57506,1,9,1,8,2,2,0,60,1319,2
AAA,2013J,58873,2,1,2,3,1,2,0,60,1732,2
AAA,2013J,59185,1,1,1,7,2,2,0,60,1102,2
AAA,2013J,62155,2,6,3,6,1,2,0,60,3388,2
AAA,2013J,63400,1,7,1,5,2,2,0,60,2737,2
AAA,2013J,65002,2,1,2,8,1,2,0,60,176,4
AAA,2013J,70464,2,12,2,7,2,2,0,60,1053,2
AAA,2013J,71361,1,3,3,0,2,2,0,60,2327,2
AAA,2013J,74372,1,1,2,2,2,2,0,150,116,3
AAA,2013J,75091,1,10,2,4,2,2,0,60,2992,2
AAA,2013J,77367,1,2,2,4,1,2,0,60,680,2
AAA,2013J,91265,1,6,3,1,1,2,0,60,1494,2
AAA,2013J,94961,1,9,1,8,2,2,0,60,1240,4
AAA,2013J,98094,1,11,1,8,2,2,0,60,2839,2
AAA,2013J,100893,1,13,2,3,1,2,0,60,744,2
AAA,2013J,101781,1,9,1,9,2,2,0,60,4104,2
AAA,2013J,102806,1,6,2,4,1,2,0,60,1944,2
AAA,2013J,102952,1,4,3,7,1,2,0,60,1150,2
AAA,2013J,104476,1,3,4,0,2,2,0,60,4777,2
AAA,2013J,106247,1,9,3,9,2,2,0,60,465,4
AAA,2013J,106577,1,2,1,3,1,2,0,60,733,2
AAA,2013J,110175,1,1,3,9,2,2,0,60,998,2
AAA,2013J,111717,2,1,3,10,2,2,0,60,2343,2
AAA,2013J,113295,1,13,1,7,2,2,0,60,3553,2
AAA,2013J,114017,2,5,4,0,2,2,0,60,757,2
AAA,2013J,114999,1,13,3,7,2,2,0,60,1358,2
AAA,2013J,116541,1,11,3,1,1,2,0,60,1886,2
AAA,2013J,116692,1,1,2,8,2,2,0,60,1108,2
AAA,2013J,118983,1,2,3,4,1,2,0,120,284,2
AAA,2013J,123044,1,9,2,5,2,2,0,60,2041,2
AAA,2013J,127582,2,2,2,5,1,2,0,180,1321,2
AAA,2013J,129955,1,12,2,6,1,2,0,60,1888,4
AAA,2013J,132976,2,1,1,9,2,2,0,120,520,2
AAA,2013J,134143,2,8,2,10,2,2,0,60,2732,1
AAA,2013J,135335,2,1,1,3,1,2,0,180,73,4
AAA,2013J,135400,2,8,1,10,2,1,0,60,610,4
AAA,2013J,137873,1,10,2,5,2,2,0,60,5528,2
AAA,2013J,141355,2,2,2,4,1,2,0,240,1823,2
AAA,2013J,141377,1,10,2,10,1,2,0,345,756,4
AAA,2013J,142326,2,5,2,6,2,2,0,60,2121,2
AAA,2013J,144801,2,9,3,9,2,2,0,60,5645,2
AAA,2013J,145130,1,10,3,7,1,2,0,120,452,2
AAA,2013J,146188,2,12,2,3,1,1,0,60,597,3
AAA,2013J,147756,1,5,1,7,1,2,0,120,1718,3
AAA,2013J,147793,2,5,1,9,1,2,0,90,155,4
AAA,2013J,148993,2,6,2,4,2,1,0,60,3812,4
AAA,2013J,151358,2,4,2,9,1,2,0,150,270,2
AAA,2013J,155550,1,4,2,1,2,2,0,420,1529,2
AAA,2013J,155854,2,2,2,3,2,2,0,60,4003,2
AAA,2013J,155984,2,1,1,8,1,2,0,60,2645,4
AAA,2013J,157568,2,10,2,10,1,2,0,60,1405,2
AAA,2013J,159954,1,2,2,5,2,2,0,60,2062,4
AAA,2013J,164259,1,7,2,8,1,2,0,60,466,2
AAA,2013J,167906,2,13,2,5,2,2,0,60,1510,2
AAA,2013J,168936,2,12,1,2,2,2,0,60,745,2
AAA,2013J,172112,1,3,3,0,2,2,0,60,1939,2
AAA,2013J,172797,2,3,2,0,2,2,0,60,1782,2
AAA,2013J,174782,1,1,3,10,3,2,0,60,6318,2
AAA,2013J,175392,1,5,3,0,2,2,0,60,4447,2
AAA,2013J,175932,1,6,3,8,2,2,0,60,2016,2
AAA,2013J,175991,2,6,2,9,1,2,0,180,138,3
AAA,2013J,180753,1,10,2,4,1,2,0,120,2012,2
AAA,2013J,181316,2,10,2,9,2,2,0,120,487,4
AAA,2013J,183096,2,10,2,7,1,2,0,60,1975,2
AAA,2013J,183947,1,4,2,2,1,2,0,180,964,2
AAA,2013J,184271,1,10,3,9,2,2,0,170,1312,2
AAA,2013J,185439,1,4,3,2,1,2,0,120,427,3
AAA,2013J,186149,1,7,3,4,2,2,0,60,2136,2
AAA,2013J,187100,1,8,2,6,2,2,0,60,8562,1
AAA,2013J,188278,1,13,2,8,2,2,0,120,4497,4
AAA,2013J,189879,1,7,2,10,1,2,0,120,1541,2
AAA,2013J,192183,2,10,1,10,1,2,0,60,3219,2
AAA,2013J,195262,1,4,2,10,1,2,0,60,1905,4
AAA,2013J,200860,1,4,1,6,2,2,0,60,534,2
AAA,2013J,202635,2,11,2,4,1,2,0,60,1418,4
AAA,2013J,205350,1,10,3,9,2,2,0,60,1665,2
AAA,2013J,205719,1,1,2,5,1,1,0,90,333,3
AAA,2013J,227499,2,4,2,2,2,2,0,60,2953,1
AAA,2013J,227517,1,3,3,0,1,2,0,180,1205,3
AAA,2013J,228082,1,4,3,7,1,2,0,60,227,2
AAA,2013J,228222,1,2,1,6,1,2,0,60,445,2
AAA,2013J,229179,1,12,2,3,1,2,0,60,614,2
AAA,2013J,229361,1,2,2,6,1,2,0,60,1215,2
AAA,2013J,231554,1,4,2,5,1,2,0,240,1839,2
AAA,2013J,235507,1,13,2,10,1,2,0,240,1257,4
AAA,2013J,236284,1,7,4,10,1,2,0,60,732,2
AAA,2013J,238007,1,9,3,10,3,2,0,60,1935,2
AAA,2013J,240712,1,4,3,9,1,2,0,80,321,2
AAA,2013J,240884,1,9,2,10,1,2,0,120,427,2
AAA,2013J,241649,1,1,3,10,2,2,0,60,1892,2
AAA,2013J,241729,2,2,3,7,2,2,0,60,1829,3
AAA,2013J,242793,1,4,3,3,2,2,0,60,658,2
AAA,2013J,246834,1,10,2,10,2,2,0,60,1174,2
AAA,2013J,248270,1,6,1,3,1,2,0,90,1969,2
AAA,2013J,255548,1,11,1,3,2,2,0,60,2580,2
AAA,2013J,256815,1,6,3,2,1,2,0,120,1481,2
AAA,2013J,258392,2,12,1,4,1,2,0,60,844,2
AAA,2013J,258894,2,1,1,8,2,2,0,60,4963,2
AAA,2013J,260355,2,4,2,9,2,2,0,60,426,4
AAA,2013J,262011,1,2,2,3,2,2,0,60,1066,2
AAA,2013J,262934,2,6,2,4,2,2,0,60,2407,2
AAA,2013J,268073,1,1,2,2,2,2,0,90,3210,3
AAA,2013J,268733,1,1,2,4,1,2,0,180,191,4
AAA,2013J,271251,1,7,2,9,2,2,0,60,3348,2
AAA,2013J,277880,2,8,2,7,1,2,0,60,2028,4
AAA,2013J,279572,1,4,1,5,1,2,0,60,1183,1
AAA,2013J,281022,2,7,2,4,1,2,0,150,492,2
AAA,2013J,281250,1,11,1,8,2,2,0,60,130,3
AAA,2013J,281589,1,6,3,4,1,2,0,60,59,3
AAA,2013J,282821,1,10,2,4,2,2,0,60,1961,2
AAA,2013J,286488,1,8,2,10,2,2,0,60,1046,2
AAA,2013J,287548,1,1,2,10,1,2,0,120,483,2
AAA,2013J,290201,1,11,2,3,1,2,0,60,1740,2
AAA,2013J,290757,1,6,2,4,1,2,0,60,652,2
AAA,2013J,291334,1,8,2,10,2,2,0,60,5231,1
AAA,2013J,292923,2,8,2,10,2,2,0,180,0,4
AAA,2013J,293699,1,2,2,8,1,2,0,120,187,2
AAA,2013J,294570,1,8,3,10,3,2,0,60,1775,2
AAA,2013J,294594,1,8,2,10,1,2,0,60,865,2
AAA,2013J,295741,1,8,2,5,2,2,0,240,709,3
AAA,2013J,296332,1,9,4,10,3,2,0,60,2152,1
AAA,2013J,298696,2,8,3,9,1,2,0,60,514,2
AAA,2013J,300398,1,12,2,4,2,2,0,60,1997,2
AAA,2013J,302302,2,1,2,5,1,2,0,60,513,3
AAA,2013J,305152,1,6,2,8,1,2,0,60,146,3
AAA,2013J,305386,1,12,2,8,1,1,0,120,1277,2
AAA,2013J,305539,2,11,1,9,1,2,0,120,68,4
AAA,2013J,306107,1,12,2,6,2,2,0,120,987,2
AAA,2013J,306466,1,1,2,10,2,2,0,60,1220,2
AAA,2013J,306897,2,4,2,2,1,2,0,60,2742,2
AAA,2013J,307061,2,2,3,2,1,2,0,60,1081,2
AAA,2013J,307866,1,12,2,8,1,2,0,60,1476,2
AAA,2013J,311917,1,10,2,7,3,2,0,120,2230,2
AAA,2013J,312537,1,9,4,10,3,2,0,60,12882,1
AAA,2013J,312782,1,9,2,10,1,2,0,60,281,2
AAA,2013J,318933,2,1,3,9,1,2,0,120,1281,2
AAA,2013J,319047,2,2,2,6,1,2,0,60,6589,2
AAA,2013J,321942,1,9,3,10,3,2,0,60,10083,2
AAA,2013J,324002,1,1,3,5,2,2,0,60,1901,2
AAA,2013J,324084,2,10,2,2,2,2,0,60,1961,2
AAA,2013J,324282,1,8,2,10,1,2,0,120,133,2
AAA,2013J,331358,2,9,3,10,2,2,0,60,6588,4
AAA,2013J,332789,2,1,2,7,2,2,0,60,1655,2
AAA,2013J,333059,1,7,2,3,1,2,0,120,301,2
AAA,2013J,333323,1,7,3,9,1,2,0,60,648,2
AAA,2013J,334259,2,4,2,6,1,2,0,150,332,3
